Series,Time,Value
CU-01,2019-02-13,33.08333333333333
CU-01,2019-02-14,23.56812920875421
CU-01,2019-02-15,22.230639730639734
CU-01,2019-02-16,18.712363215488214
CU-01,2019-02-17,15.325357744107743
CU-01,2019-02-18,12.637289562289562
CU-01,2019-02-19,9.275494528619529
CU-01,2019-02-20,11.138383838383838
CU-01,2019-02-21,17.84027777777778
CU-01,2019-02-22,11.960606060606061
CU-01,2019-02-23,18.25353535353535
CU-01,2019-02-24,18.263333333333332
CU-01,2019-02-25,20.255256433381433
CU-01,2019-02-26,20.1173085016835
CU-01,2019-02-27,22.75225468975469
CU-01,2019-02-28,25.585700757575754
CU-01,2019-03-01,24.03583754208754
CU-01,2019-03-02,25.1248556998557
CU-01,2019-03-03,23.462205387205387
CU-01,2019-03-04,20.54659241221741
CU-01,2019-03-05,24.734301346801345
CU-01,2019-03-06,22.35024350649351
CU-01,2019-03-07,14.56695226070226
CU-01,2019-03-08,17.3928360990861
CU-01,2019-03-09,16.431723484848487
CU-01,2019-03-10,15.982922979797978
CU-01,2019-03-11,19.671412037037037
CU-01,2019-03-12,35.19554924242424
CU-01,2019-03-13,20.563362794612797
CU-01,2019-03-14,18.54439033189033
CU-01,2019-03-15,19.38074494949495
CU-01,2019-03-16,29.0696639009139
CU-01,2019-03-17,26.713102753727753
CU-01,2019-03-18,29.04358164983165
CU-01,2019-03-19,24.976062710437713
CU-01,2019-03-20,23.307933501683504
CU-01,2019-03-21,23.642469336219335
CU-01,2019-03-22,26.021285774410774
CU-01,2019-03-23,27.908733164983165
CU-01,2019-03-24,25.74691257816258
CU-01,2019-03-25,21.214699074074073
CU-01,2019-03-26,17.910153619528618
CU-01,2019-03-27,18.307051166426167
CU-01,2019-03-28,17.856032046657045
CU-01,2019-03-29,19.344559228650137
CU-01,2019-03-30,20.060588023088023
CU-01,2019-03-31,20.69018308080808
CU-01,2019-04-01,19.597619047619048
CU-01,2019-04-08,20.16332442067736
CU-01,2019-04-09,15.358659511784511
CU-01,2019-04-10,17.678545875420877
CU-01,2019-04-11,17.30173611111111
CU-01,2019-04-12,18.03354377104377
CU-01,2019-04-13,17.60246212121212
CU-01,2019-04-14,13.217319023569024
CU-01,2019-04-15,13.061910774410775
CU-01,2019-04-16,15.69437079124579
CU-01,2019-04-17,14.175160834535836
CU-01,2019-04-18,17.927314814814814
CU-01,2019-04-19,20.4622113997114
CU-01,2019-04-20,23.55328282828283
CU-01,2019-04-21,25.999358164983164
CU-01,2019-04-22,20.354321789321787
CU-01,2019-04-23,19.012268518518518
CU-01,2019-04-24,16.49597011784512
CU-01,2019-04-25,21.036139670514668
CU-01,2019-04-26,24.00171506734007
CU-01,2019-04-27,21.956439393939394
CU-01,2019-04-28,13.28232323232323
CU-01,2019-04-29,9.222590488215488
CU-01,2019-04-30,11.346580387205387
CU-01,2019-05-01,6.448516414141413
CU-01,2019-05-02,4.375010521885522
CU-01,2019-05-03,7.878503787878788
CU-01,2019-05-04,7.5800505050505045
CU-01,2019-05-05,10.642482864357865
CU-01,2019-05-06,19.082717051467053
CU-01,2019-05-07,21.01486742424242
CU-01,2019-05-08,21.352977693602693
CU-01,2019-05-09,23.816612554112552
CU-01,2019-05-10,19.211805555555554
CU-01,2019-05-11,20.842576058201058
CU-01,2019-05-12,21.381513047138046
CU-01,2019-05-13,19.790037277537277
CU-01,2019-05-14,22.087131734006732
CU-01,2019-05-15,23.799837662337662
CU-01,2019-05-16,20.274068061568062
CU-01,2019-05-17,19.338553691678694
CU-01,2019-05-18,21.325747053872053
CU-01,2019-05-19,18.955545033670035
CU-01,2019-05-20,18.44194624819625
CU-01,2019-05-21,16.355061026936028
CU-01,2019-05-22,13.274263468013467
CU-01,2019-05-23,12.624957912457914
CU-01,2019-05-24,14.010984848484847
CU-01,2019-05-25,15.430644240019241
CU-01,2019-05-26,13.86964886964887
CU-01,2019-05-27,9.863783670033671
CU-01,2019-05-28,13.718806193806195
CU-S0002,2019-02-16,38.24158333333334
CU-S0002,2019-02-17,24.899583333333332
CU-S0002,2019-02-26,43.26969696969697
CU-S0002,2019-02-27,43.53578149920255
CU-S0002,2019-03-01,36.31754419191919
CU-S0002,2019-03-02,40.705561868686864
